@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute xPos numeric
@attribute yPos numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute elapsedTime numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
63,'2019/05/04 16:55:38:672',32,303,294,10,9.19145,3.939193,0.5,0,1377,0,0
64,'2019/05/04 16:55:38:674',32,303,294,10,9.19145,3.939193,0.5,0,1377,0,0
65,'2019/05/04 16:55:38:685',33,324,305,32,28.346609,14.848224,4.4,0,1393,0,0
66,'2019/05/04 16:55:38:686',33,324,305,32,28.346609,14.848224,4.4,0,1393,0,0
67,'2019/05/04 16:55:38:704',34,336,313,20,16.641006,11.094004,4,0,1410,0,0
68,'2019/05/04 16:55:38:705',34,336,313,20,16.641006,11.094004,4,0,1410,0,0
69,'2019/05/04 16:55:38:719',35,347,319,17,14.924224,8.140486,0.75,0,1426,0,0
70,'2019/05/04 16:55:38:720',35,347,319,17,14.924224,8.140486,0.75,0,1426,0,0
71,'2019/05/04 16:55:38:738',36,370,328,32,29.79977,11.66078,5,0,1445,0,0
72,'2019/05/04 16:55:38:739',36,370,328,32,29.79977,11.66078,5,0,1445,0,0
73,'2019/05/04 16:55:38:756',37,394,331,27,26.791502,3.348938,1.25,0,1463,0,0
74,'2019/05/04 16:55:38:757',37,394,331,27,26.791502,3.348938,1.25,0,1463,0,0
75,'2019/05/04 16:55:38:775',38,404,330,11,10.94541,-1.094541,5.333333,0,1482,0,0
76,'2019/05/04 16:55:38:777',38,404,330,11,10.94541,-1.094541,5.333333,0,1482,0,0
77,'2019/05/04 16:55:38:791',39,423,326,23,22.506643,-4.738241,3,0,1499,0,0
78,'2019/05/04 16:55:38:793',39,423,326,23,22.506643,-4.738241,3,0,1499,0,0
79,'2019/05/04 16:55:38:112',40,428,323,8,6.859944,-4.115966,5,0,1517,0,0
80,'2019/05/04 16:55:38:811',40,428,323,8,6.859944,-4.115966,5,0,1517,0,0
81,'2019/05/04 16:55:38:824',41,439,306,28,15.211036,-23.507965,5,0,1532,0,0
82,'2019/05/04 16:55:38:825',41,439,306,28,15.211036,-23.507965,5,0,1532,0,0
83,'2019/05/04 16:55:38:842',42,441,296,12,2.353394,-11.766968,5.333333,0,1550,0,0
84,'2019/05/04 16:55:38:844',42,441,296,12,2.353394,-11.766968,5.333333,0,1550,0,0
85,'2019/05/04 16:55:38:858',43,441,284,12,0,-12,0,0,1566,0,0
86,'2019/05/04 16:55:38:860',43,441,284,12,0,-12,0,0,1566,0,0
87,'2019/05/04 16:55:38:878',44,436,275,14,-6.799001,-12.238201,0.5,0,1584,0,0
88,'2019/05/04 16:55:38:879',44,436,275,14,-6.799001,-12.238201,0.5,0,1584,0,0
89,'2019/05/04 16:55:38:896',45,432,272,7,-5.6,-4.2,1.75,0,1604,0,0
90,'2019/05/04 16:55:38:897',45,432,272,7,-5.6,-4.2,1.75,0,1604,0,0
91,'2019/05/04 16:55:38:938',46,426,270,8,-7.589466,-2.529822,0.125,0,1622,0,0
92,'2019/05/04 16:55:38:948',46,426,270,8,-7.589466,-2.529822,0.125,0,1622,0,0
93,'2019/05/04 16:55:38:963',47,423,271,4,-3.794733,1.264911,0.444444,0,1635,0,0
94,'2019/05/04 16:55:38:971',47,423,271,4,-3.794733,1.264911,0.444444,0,1635,0,0
95,'2019/05/04 16:55:38:987',48,421,275,6,-2.683281,5.366563,0.4,0,1693,0,0
96,'2019/05/04 16:55:38:988',48,421,275,6,-2.683281,5.366563,0.4,0,1693,0,0
97,'2019/05/04 16:55:39:001',49,415,347,78,-6.477548,77.730568,1.8,0,1709,0,0
98,'2019/05/04 16:55:39:002',49,415,347,78,-6.477548,77.730568,1.8,0,1709,0,0
99,'2019/05/04 16:55:39:013',50,416,358,12,1.086429,11.950719,6,0,1721,0,0
100,'2019/05/04 16:55:39:014',50,416,358,12,1.086429,11.950719,6,0,1721,0,0
101,'2019/05/04 16:55:39:028',51,416,358,0,0,0,1.714286,0,1735,0,0
102,'2019/05/04 16:55:39:028',51,416,358,0,0,0,1.714286,0,1735,0,0
103,'2019/05/04 16:55:39:052',52,419,376,21,3.452379,20.714273,5.25,0,1759,0,0
104,'2019/05/04 16:55:39:054',52,419,376,21,3.452379,20.714273,5.25,0,1759,0,0
105,'2019/05/04 16:55:39:065',53,426,388,19,9.573549,16.4118,0.153846,0,1773,0,0
106,'2019/05/04 16:55:39:067',53,426,388,19,9.573549,16.4118,0.153846,0,1773,0,0
107,'2019/05/04 16:55:39:080',54,432,392,10,8.320503,5.547002,1.125,0,1788,0,0
108,'2019/05/04 16:55:39:083',54,432,392,10,8.320503,5.547002,1.125,0,1788,0,0
109,'2019/05/04 16:55:39:095',55,438,393,7,6.904757,1.150793,0.428571,0,1803,0,0
110,'2019/05/04 16:55:39:097',55,438,393,7,6.904757,1.150793,0.428571,0,1803,0,0
111,'2019/05/04 16:55:39:112',56,447,393,9,9,0,0.333333,0,1820,0,0
112,'2019/05/04 16:55:39:113',56,447,393,9,9,0,0.333333,0,1820,0,0
113,'2019/05/04 16:55:39:129',57,469,386,29,27.634848,-8.792907,4,0,1836,0,0
114,'2019/05/04 16:55:39:129',57,469,386,29,27.634848,-8.792907,4,0,1836,0,0
115,'2019/05/04 16:55:39:145',58,482,378,21,17.884825,-11.006046,2,0,1852,0,0
116,'2019/05/04 16:55:39:146',58,482,378,21,17.884825,-11.006046,2,0,1852,0,0
117,'2019/05/04 16:55:39:163',59,509,360,45,37.442261,-24.961508,4.8,0,1869,0,0
118,'2019/05/04 16:55:39:166',59,509,360,45,37.442261,-24.961508,4.8,0,1869,0,0
119,'2019/05/04 16:55:39:181',60,518,353,16,12.629636,-9.82305,7.25,0,1889,0,0
120,'2019/05/04 16:55:39:182',60,518,353,16,12.629636,-9.82305,7.25,0,1889,0,0
121,'2019/05/04 16:55:39:197',61,533,336,32,21.171892,-23.994812,2,0,1905,0,0
122,'2019/05/04 16:55:39:199',61,533,336,32,21.171892,-23.994812,2,0,1905,0,0
123,'2019/05/04 16:55:39:213',62,536,327,12,3.794733,-11.3842,4,0,1921,0,0
124,'2019/05/04 16:55:39:214',62,536,327,12,3.794733,-11.3842,4,0,1921,0,0
125,'2019/05/04 16:55:39:232',63,536,310,17,0,-17,1.25,0,1939,0,0
126,'2019/05/04 16:55:39:234',63,536,310,17,0,-17,1.25,0,1939,0,0
127,'2019/05/04 16:55:39:249',64,532,295,19,-4.89559,-18.358463,0.4,0,1956,0,0
128,'2019/05/04 16:55:39:250',64,532,295,19,-4.89559,-18.358463,0.4,0,1956,0,0
129,'2019/05/04 16:55:39:264',65,530,292,5,-2.773501,-4.160252,2.333333,0,1972,0,0
130,'2019/05/04 16:55:39:266',65,530,292,5,-2.773501,-4.160252,2.333333,0,1972,0,0
131,'2019/05/04 16:55:39:281',66,529,292,1,-1,0,0.8,0,1989,0,0
132,'2019/05/04 16:55:39:283',66,529,292,1,-1,0,0.8,0,1989,0,0
133,'2019/05/04 16:55:39:299',67,528,292,1,-1,0,0,0,2006,0,0
134,'2019/05/04 16:55:39:300',67,528,292,1,-1,0,0,0,2006,0,0
135,'2019/05/04 16:55:39:315',68,527,301,10,-1.104315,9.938837,2.25,0,2023,0,0
136,'2019/05/04 16:55:39:316',68,527,301,10,-1.104315,9.938837,2.25,0,2023,0,0
137,'2019/05/04 16:55:39:333',69,526,313,13,-1.079591,12.955095,0.6,0,2041,0,0
138,'2019/05/04 16:55:38:220',69,526,313,13,-1.079591,12.955095,0.6,0,2041,0,0
139,'2019/05/04 16:55:39:349',70,525,347,35,-1.028967,34.984871,3.666667,0,2057,0,0
140,'2019/05/04 16:55:39:350',70,525,347,35,-1.028967,34.984871,3.666667,0,2057,0,0
141,'2019/05/04 16:55:39:366',71,526,362,16,1.064304,15.964562,3.8,0,2074,0,0
142,'2019/05/04 16:55:39:367',71,526,362,16,1.064304,15.964562,3.8,0,2074,0,0
143,'2019/05/04 16:55:39:415',72,530,383,25,4.677803,24.558464,1.8,0,2105,0,0
144,'2019/05/04 16:55:39:416',72,530,383,25,4.677803,24.558464,1.8,0,2105,0,0
145,'2019/05/04 16:55:39:417',73,537,395,19,9.573549,16.4118,0.25,0,2113,0,0
146,'2019/05/04 16:55:39:417',73,537,395,19,9.573549,16.4118,0.25,0,2113,0,0
147,'2019/05/04 16:55:39:424',74,537,395,0,0,0,4.75,0,2132,0,0
148,'2019/05/04 16:55:39:426',74,537,395,0,0,0,4.75,0,2132,0,0
149,'2019/05/04 16:55:39:439',75,543,394,7,6.904757,-1.150793,1.4,0,2147,0,0
150,'2019/05/04 16:55:39:440',75,543,394,7,6.904757,-1.150793,1.4,0,2147,0,0
151,'2019/05/04 16:55:39:458',76,550,390,11,9.550674,-5.457528,0.8,0,2166,0,0
152,'2019/05/04 16:55:39:460',76,550,390,11,9.550674,-5.457528,0.8,0,2166,0,0
153,'2019/05/04 16:55:39:474',77,568,371,37,25.446552,-26.86025,5.2,0,2182,0,0
154,'2019/05/04 16:55:39:475',77,568,371,37,25.446552,-26.86025,5.2,0,2182,0,0
155,'2019/05/04 16:55:39:488',78,578,357,24,13.949717,-19.529602,2.6,0,2197,0,0
156,'2019/05/04 16:55:39:489',78,578,357,24,13.949717,-19.529602,2.6,0,2197,0,0
157,'2019/05/04 16:55:39:506',79,588,333,34,13.076923,-31.384615,2.5,0,2213,0,0
158,'2019/05/04 16:55:39:510',79,588,333,34,13.076923,-31.384615,2.5,0,2213,0,0
159,'2019/05/04 16:55:39:521',80,591,321,15,3.638034,-14.552137,3.8,0,2229,0,0
160,'2019/05/04 16:55:39:522',80,591,321,15,3.638034,-14.552137,3.8,0,2229,0,0
161,'2019/05/04 16:55:39:539',81,591,308,13,0,-13,0.4,0,2247,0,0
162,'2019/05/04 16:55:39:540',81,591,308,13,0,-13,0.4,0,2247,0,0
163,'2019/05/04 16:55:39:557',82,587,282,30,-4.561716,-29.651152,3.4,0,2265,0,0
164,'2019/05/04 16:55:39:559',82,587,282,30,-4.561716,-29.651152,3.4,0,2265,0,0
165,'2019/05/04 16:55:39:579',83,575,252,42,-15.598408,-38.996021,1.714286,0,2287,0,0
166,'2019/05/04 16:55:39:580',83,575,252,42,-15.598408,-38.996021,1.714286,0,2287,0,0
167,'2019/05/04 16:55:39:591',84,556,227,44,-26.623665,-35.031136,0.181818,0,2299,0,0
168,'2019/05/04 16:55:39:592',84,556,227,44,-26.623665,-35.031136,0.181818,0,2299,0,0
169,'2019/05/04 16:55:39:607',85,546,216,21,-14.126128,-15.538741,2.875,0,2315,0,0
170,'2019/05/04 16:55:39:608',85,546,216,21,-14.126128,-15.538741,2.875,0,2315,0,0
171,'2019/05/04 16:55:39:625',86,533,206,23,-18.23035,-14.023347,0.4,0,2333,0,0
172,'2019/05/04 16:55:39:628',86,533,206,23,-18.23035,-14.023347,0.4,0,2333,0,0
173,'2019/05/04 16:55:39:639',87,509,192,38,-32.823601,-19.147099,2.142857,0,2348,0,0
174,'2019/05/04 16:55:39:642',87,509,192,38,-32.823601,-19.147099,2.142857,0,2348,0,0
175,'2019/05/04 16:55:39:673',88,477,178,46,-42.143238,-18.437668,1.6,0,2381,0,0
176,'2019/05/04 16:55:39:675',88,477,178,46,-42.143238,-18.437668,1.6,0,2381,0,0
177,'2019/05/04 16:55:39:695',89,457,172,26,-24.903482,-7.471045,0.769231,0,2403,0,0
178,'2019/05/04 16:55:39:696',89,457,172,26,-24.903482,-7.471045,0.769231,0,2403,0,0
179,'2019/05/04 16:55:39:703',90,402,161,66,-64.718323,-12.943665,2.5,0,2411,0,0
180,'2019/05/04 16:55:39:704',90,402,161,66,-64.718323,-12.943665,2.5,0,2411,0,0
181,'2019/05/04 16:55:39:719',91,382,159,22,-21.89082,-2.189082,7.333333,0,2428,0,0
182,'2019/05/04 16:55:39:720',91,382,159,22,-21.89082,-2.189082,7.333333,0,2428,0,0
183,'2019/05/04 16:55:39:735',92,360,158,23,-22.976278,-1.044376,0.166667,0,2443,0,0
184,'2019/05/04 16:55:39:735',92,360,158,23,-22.976278,-1.044376,0.166667,0,2443,0,0
185,'2019/05/04 16:55:39:753',93,345,159,16,-15.964562,1.064304,1.4,0,2461,0,0
186,'2019/05/04 16:55:39:754',93,345,159,16,-15.964562,1.064304,1.4,0,2461,0,0
187,'2019/05/04 16:55:39:769',94,303,164,47,-46.670448,5.556005,5.166667,0,2477,0,0
188,'2019/05/04 16:55:39:770',94,303,164,47,-46.670448,5.556005,5.166667,0,2477,0,0
189,'2019/05/04 16:55:39:788',95,287,168,20,-19.402851,4.850713,5.4,0,2497,0,0
190,'2019/05/04 16:55:39:789',95,287,168,20,-19.402851,4.850713,5.4,0,2497,0,0
191,'2019/05/04 16:55:39:807',96,272,175,22,-19.936028,9.30348,0.285714,0,2515,0,0
